sentence,target,gold_05,gold_01
"He was searching for a remote installation to train bomber crews and support units in total secrecy. Tibbets instantly liked the isolation and vast size of Wendover and the surrounding Bonneville Salt Flats. And he immediately liked Karnes, who showed him around the base.",size,range;scope;expanse;area;breadth;extent;magnitude;length;proportions;dimensions,spread;stretch;space;range;enormity;scope;capacity;measurement;expanse;proportion;area;breadth;immensity;extent or bulk of some dimension;stature;dimension;extent;magnitude;voluminosity;diameter;length;mass;proportions;dimensions;vastness;largeness;greatness;hugeness;bigness
"One wrong word and you find yourself cursed with infinite earwax or something. So what else do you want to know, Nathan?” “I don’t know …hey, what about the nature spirits, things like that?",know,have knowledge of;hear;understand;comprehend;learn,apperceive;be cognizant;appreciate;perceive;have information;get the idea;have knowledge of;fathom;be informed;be versed;grasp;hear;understand;inquire;be acquainted with;feel certain;be familiar with;prize;undergo;on top of;comprehend;be learned;have;learn
"Suddenly, Amy screamed. I whirled around and threw up my arm just in time to knock Dvorov away. His eyes were glowing red, and he had bared a set of fangs that could probably take my hand off.",knock,move;punch;thump;slam;smack;whack;strike;push,wallop;abuse;tap;move;punch;drub;hit;deck;thwack;thump;slam;smack;whack;strike;bat;beat up;manhandle;throw;bash;deflect;thrash;pound;beat;slap;push
And how did you recognize me when – ” “That’s enough! I can only answer one question at a time.,enough,enough already;it,the last straw;enough already;all;a bit much;it;the limit
"He's got that reputation and that's important to us, especially a club like ours that is an egoless club."" Ochoa will join the club today in Anaheim before tonight's game against the Yankees. He said he's fine with his role as a reserve outfielder and pinch hitter.",join,meet;enter;take part in;come aboard;team up with;accompany;enroll;sign on,affiliate with organization;mingle with;lie near;meet;line;tie;enter;be on;go to;take part in;fall in with;take up with;enlist;come aboard;team up with;accompany;play with;enroll;be in;sign up;throw in with;sign on;tag on
"“I think that our world is a reflection of yours, or yours is a more boring reflection of ours. This place is just a little of both. In America, things are still weird after the European conquest.",little,trace;dash;tad bit;fragment;bit,slight;trace;wee;dab;ineffectual;stunted;mini;miniature;junior;tiny;diminutive;base;dash;negligible;piece;short;tad bit;teeny;fragment;bit;not large;skimpy
"That was the message delivered by government and private security experts at an all-day conference on corporate electronic espionage. ""Hostile and even friendly nations routinely steal information from U.S. companies and share it with their own companies,"" said Noel D. Matchett, a former staffer at the federal National Security Agency and now president of Information Security Inc., Silver Spring, Md. It ""may well be"" that theft of business data is ""as serious a strategic threat to national security"" as it is a threat to the survival of victimized U.S. firms, said Michelle Van Cleave, the White House's assistant director for National Security Affairs.",now,here and now;nowadays;at the moment;current;at the present time;at this time;presently;present;currently;at this moment;right now,here and now;nowadays;at the moment;in a moment;current;these days;at the present time;at this time;presently;present;this day;currently;today;straightaway;at this moment;right now;presently any
"Nepthys stood over him with a blue sword in his hand. It flashed in the strobe where it wasn’t streaked with Dvorov’s blood. “He wasn’t the only one with a secret or two,” he said by way of explanation.",blood,spill blood;vital fluid,sanguine fluid;spill blood;fluid;red body fluid;vital fluid;bloodshed;hemoglobin;plasma
"Well, we don’t get many customers asking about that item. Please, walk this way.” She led us past the silks and through an arch decorated with pictures of wooden ships and what looked like African tribesmen.",walk,move;proceed;saunter;stroll;move along on foot;wander;step;traverse;go;come;advance,move;proceed;locomote;tread;saunter;meander;amble;canter;stride;shuffle;prance;take a walk;stroll;hoof it;travel;trek;pace;move along on foot;ambulate;wander;plod;trudge;go on foot;step;traipse;traverse;tramp;go;come;advance;wend ones way
"The 300-millimeter silicon wafers -- about the size of a standard pizza -- are shuttled around the facility in enclosed plastic pods, which ride on overhead tracks. They drop down from wires automatically into machines, sheathed in stainless steel and glass, for each stage of processing and fabrication. Throughout the 500 processing steps, which typically last 20 days, the wafers are not touched by human hands.",fabrication,assembly;assemblage;creation;production;construction;manufacturing,deceit;invention;something manufactured;work;building;assembly;assemblage;creation;production;construction;manufacturing
"She opened the door and took us past several doors marked with odd geometrical designs to another locked room. “Here it is,” she said. With a flourish, she opened the door to reveal a room with walls inlaid with lapis and gold wire, intricate patterns like a Czar’s jewelry box crawling down the walls.",Here,there,in this place;there;on-thespot
"IBM is an exception among computer makers in that it still invests heavily in research to advance the design, manufacture and materials used in semiconductor chips. It is spending more than $500 million a year on semiconductor research and development. The factory will produce a wide range of specialized semiconductors used in everything from the largest mainframe computers to cell phones and video-game consoles.",more,greater;exceeding;higher;larger,additional;greater;high;more than that;above;moreover;heavier;innumerable;exceeding;over;great;higher;over and above;larger;in addition
"Ochoa took Fabregas' spot in the roster, but the Angels will have to clear another spot today to make room for Bengie. Infielder Jose Nieves is likely to be sent down, but since he is out of options, he would have to clear waivers before he could join Triple-A Salt Lake. --Not expected: Fabregas, who hit .193 with no homers and eight RBI in 35 games with the Angels this season, said he was ""surprised and shocked"" to get traded from a pennant contender to a team 22 games out in the NL Central.",sent,,impart;assign;ship;put out;cast;direct;force;emit;transmit;broadcast;relay;mail;shoot;propel;let fly;advance;route;dispatch;move;issue;deliver;transfer through a system;expedite;push;convey
"The second mobster said the French pair had ""only three judges,"" and of the two judges they needed to win the gold medal ""one is ours, and the other our friends will give them."" Their concern for lining up more votes than they thought the Italian ice dancers had may stem from the Italian team's defeat of Anissina and Peizerat in the 2001 world championships. But they seemed pleased that the Russian pair's victory was achieved with the French judge's vote.",world,international;global,sphere;atmosphere;group;international;global
"“Amy.” Nepthys looked at me incredulously. “You awaken a magical being of unknown power from an enchanted stone, having purchased her with your own blood from a slave dealer, and you name her ‘Amy’?”",looked,stare;gaze;glance;watch;eye;peer,stare;gape;gawk;pore over;scrutinize;gaze;study;take a gander;glance;focus;watch;observe;get a load of;look like;make clear;ogle;express;glare;regard;view;see;eye;survey;inspect;peer;behold
"Its only light came from a dying candle on the desk whose spark etched shadows in the roughly planked walls. On the bed was a small, ratty man. I smelled matted hair and cedar chips.",small,petite;lesser;teeny;little;wee;short;slight;tiny in size;pint-sized;tiny;undersized;minute;runty;minuscule;mini,petite;puny;light;inconsequential;small-time;modest;lesser;teeny;humble;little;wee;short;limited;vulgar;slight;bitty;tiny in size;pint-sized;piddling;small-fry;diminutive;tiny;undersized;meager;minute;miniature;runty;minuscule;petty;mini;teensy
"He said companies engaged in e-commerce would be able to set up offices, employ staff and own equipment in the open zone, including fully-owned foreign companies. The e-commerce free zone is situated in north Dubai, near the industrial free zone in Jebel Ali, the top regional and tenth international leading area in container transit. The inauguration of Dubai Internet City coincides with the opening of an annual IT show in Dubai, the Gulf Information Technology Exhibition (Gitex), the biggest in the Middle East.",zone,sector;district;region;ground;section;range;strip;segment;area;territory,sector;district;region;sphere;ground;section;place;belt;range;circuit;tract;strip;realm;segment;area;city;territory
